"CBO94";"CBO2002";"cbo";"CIUo88";"titulo"
"03990";"391215";"3912-15";"3152";"Inspectores de seguridad y salud y control de calidad"
"03990";"395105";"3951-05";"3212";"Técnicos en agronomía, zootecnia y silvicultura"
"03990";"510310";"5103-10";"5169";"Personal de los servicios de protección y seguridad, no clasificado bajo otros epígrafes"
"03990";"515225";"5152-25";"5139";"Trabajadores de los cuidados personales y afines, no clasificados bajo otros epígrafes"
"03990";"519940";"5199-40";"9153";"Recolectores de dinero en aparatos de venta automática, lectores de medidores y afines"
"03990";"723220";"7232-20";"8223";"Operadores de máquinas pulidoras, galvanizadoras y recubridoras de metales"
"03990";"742105";"7421-05";"7312";"Constructores y afinadores de instrumentos musicales"
"04120";"215305";"2153-05";"3143";"Pilotos de aviación y afines"
"04130";"341105";"3411-05";"3143";"Pilotos de aviación y afines"
"04135";"215305";"2153-05";"3143";"Pilotos de aviación y afines"
"04140";"215305";"2153-05";"3143";"Pilotos de aviación y afines"
"04150";"341115";"3411-15";"3143";"Pilotos de aviación y afines"
"04160";"215315";"2153-15";"3143";"Pilotos de aviación y afines"
"04170";"215310";"2153-10";"3143";"Pilotos de aviación y afines"
"04190";"215305";"2153-05";"3143";"Pilotos de aviación y afines"
"04215";"215115";"2151-15";"3142";"Capitanes, oficiales de cubierta y prácticos"
"04220";"215115";"2151-15";"3142";"Capitanes, oficiales de cubierta y prácticos"
"04230";"215115";"2151-15";"3142";"Capitanes, oficiales de cubierta y prácticos"
"04240";"341215";"3412-15";"3142";"Capitanes, oficiales de cubierta y prácticos"
"04250";"215220";"2152-20";"3141";"Oficiales maquinistas"
"04290";"215105";"2151-05";"3142";"Capitanes, oficiales de cubierta y prácticos"
"04290";"215110";"2151-10";"3242";"Curanderos"
"04290";"215115";"2151-15";"3142";"Capitanes, oficiales de cubierta y prácticos"
"04315";"215210";"2152-10";"3141";"Oficiales maquinistas"
"04320";"215205";"2152-05";"3141";"Oficiales maquinistas"
"04330";"215220";"2152-20";"3141";"Oficiales maquinistas"
"04390";"215205";"2152-05";"3141";"Oficiales maquinistas"
"05110";"221105";"2211-05";"2211";"Biólogos, botánicos, zoólogos y afines"
"05120";"203025";"2030-25";"2211";"Biólogos, botánicos, zoólogos y afines"
"05125";"203005";"2030-05";"2211";"Biólogos, botánicos, zoólogos y afines"
"05130";"203010";"2030-10";"2211";"Biólogos, botánicos, zoólogos y afines"
"05140";"203015";"2030-15";"2211";"Biólogos, botánicos, zoólogos y afines"
"05190";"203005";"2030-05";"2211";"Biólogos, botánicos, zoólogos y afines"
"05190";"203010";"2030-10";"2211";"Biólogos, botánicos, zoólogos y afines"
"05190";"203015";"2030-15";"2211";"Biólogos, botánicos, zoólogos y afines"
"05190";"203025";"2030-25";"2211";"Biólogos, botánicos, zoólogos y afines"
"05250";"203015";"2030-15";"2211";"Biólogos, botánicos, zoólogos y afines"
"05270";"223405";"2234-05";"2224";"Farmacéuticos"
"05290";"203015";"2030-15";"2211";"Biólogos, botánicos, zoólogos y afines"
"06190";"252105";"2521-05";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"06310";"223208";"2232-08";"2222";"Odontólogos"
"06330";"223272";"2232-72";"2222";"Odontólogos"
"06335";"223268";"2232-68";"2222";"Odontólogos"
"06340";"223212";"2232-12";"2222";"Odontólogos"
"06345";"223240";"2232-40";"2222";"Odontólogos"
"06350";"223244";"2232-44";"2222";"Odontólogos"
"06355";"223236";"2232-36";"2222";"Odontólogos"
"06360";"223256";"2232-56";"2222";"Odontólogos"
"06365";"223260";"2232-60";"2222";"Odontólogos"
"06370";"223248";"2232-48";"2222";"Odontólogos"
"06390";"223208";"2232-08";"2222";"Odontólogos"
"06510";"223305";"2233-05";"2223";"Veterinarios"
"06530";"223305";"2233-05";"2223";"Veterinarios"
"06540";"223310";"2233-10";"2223";"Veterinarios"
"06590";"223305";"2233-05";"2223";"Veterinarios"
"06710";"223405";"2234-05";"2224";"Farmacéuticos"
"06720";"223405";"2234-05";"2224";"Farmacéuticos"
"06790";"223405";"2234-05";"2224";"Farmacéuticos"
"06790";"515225";"5152-25";"5139";"Trabajadores de los cuidados personales y afines, no clasificados bajo otros epígrafes"
"06810";"223710";"2237-10";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"06820";"223710";"2237-10";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"06830";"223705";"2237-05";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"06890";"223705";"2237-05";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"06890";"223710";"2237-10";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07110";"223505";"2235-05";"2230";"Personal de enfermería y partería de nivel superior"
"07130";"223560";"2235-60";"2230";"Personal de enfermería y partería de nivel superior"
"07140";"223530";"2235-30";"2230";"Personal de enfermería y partería de nivel superior"
"07145";"223545";"2235-45";"2230";"Personal de enfermería y partería de nivel superior"
"07150";"223520";"2235-20";"2230";"Personal de enfermería y partería de nivel superior"
"07155";"223525";"2235-25";"2230";"Personal de enfermería y partería de nivel superior"
"07160";"223555";"2235-55";"2230";"Personal de enfermería y partería de nivel superior"
"07165";"223550";"2235-50";"2230";"Personal de enfermería y partería de nivel superior"
"07190";"223505";"2235-05";"2230";"Personal de enfermería y partería de nivel superior"
"07190";"223520";"2235-20";"2230";"Personal de enfermería y partería de nivel superior"
"07210";"322205";"3222-05";"3231";"Personal de enfermería de nivel medio"
"07215";"322215";"3222-15";"3231";"Personal de enfermería de nivel medio"
"07220";"322210";"3222-10";"3231";"Personal de enfermería de nivel medio"
"07230";"322220";"3222-20";"3231";"Personal de enfermería de nivel medio"
"07290";"322230";"3222-30";"3231";"Personal de enfermería de nivel medio"
"07310";"251605";"2516-05";"2446";"Profesionales del trabajo social"
"07315";"251605";"2516-05";"2446";"Profesionales del trabajo social"
"07325";"251605";"2516-05";"2446";"Profesionales del trabajo social"
"07345";"251605";"2516-05";"2446";"Profesionales del trabajo social"
"07390";"251605";"2516-05";"2446";"Profesionales del trabajo social"
"07410";"251510";"2515-10";"2445";"Psicólogos"
"07415";"251540";"2515-40";"2445";"Psicólogos"
"07425";"251505";"2515-05";"2445";"Psicólogos"
"07435";"251510";"2515-10";"2445";"Psicólogos"
"07445";"251535";"2515-35";"2445";"Psicólogos"
"07450";"251525";"2515-25";"2445";"Psicólogos"
"07455";"251515";"2515-15";"2445";"Psicólogos"
"07460";"251530";"2515-30";"2445";"Psicólogos"
"07490";"251505";"2515-05";"2445";"Psicólogos"
"07490";"251510";"2515-10";"2445";"Psicólogos"
"07525";"223910";"2239-10";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07530";"322305";"3223-05";"3224";"Técnicos en optometría y ópticos"
"07540";"322305";"3223-05";"3224";"Técnicos en optometría y ópticos"
"07590";"752235";"7522-35";"7322";"Sopladores, modeladores, laminadores, cortadores y pulidores de vidrio"
"07620";"223605";"2236-05";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07630";"223905";"2239-05";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07690";"223605";"2236-05";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07690";"324115";"3241-15";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"07720";"324115";"3241-15";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"07730";"324110";"3241-10";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"07740";"324105";"3241-05";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"07790";"324110";"3241-10";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"07790";"324115";"3241-15";"3133";"Operadores de aparatos de diagnóstico y tratamiento médicos"
"07915";"322105";"3221-05";"3229";"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07925";"223810";"2238-10";"2229";"Médicos y profesionales afines (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07935";"322405";"3224-05";"3225";"Dentistas auxiliares y ayudantes de odontología"
"07945";"322115";"3221-15";"3229";"Profesionales de nivel medio de la medicina moderna y la salud (excepto el personal de enfermería y partería), no clasificados bajo otros epígrafes"
"07950";"322505";"3225-05";"3226";"Fisioterapeutas y afines"
"07990";"251550";"2515-50";"2451";"Autores, periodistas y otros escritores"
"08110";"211205";"2112-05";"2122";"Estadísticos"
"08120";"203120";"2031-20";"2121";"Matemáticos y afines"
"08130";"211210";"2112-10";"2122";"Estadísticos"
"08190";"211205";"2112-05";"2122";"Estadísticos"
"08190";"211210";"2112-10";"2122";"Estadísticos"
"08220";"211115";"2111-15";"2121";"Matemáticos y afines"
"08240";"211110";"2111-10";"2121";"Matemáticos y afines"
"08250";"211105";"2111-05";"2121";"Matemáticos y afines"
"08290";"211115";"2111-15";"2121";"Matemáticos y afines"
"08320";"212405";"2124-05";"2131";"Creadores y analistas de sistemas informáticos"
"08330";"212420";"2124-20";"2131";"Creadores y analistas de sistemas informáticos"
"08340";"142515";"1425-15";"1236";"Directores de departamentos de servicios de informática"
"08345";"212410";"2124-10";"2131";"Creadores y analistas de sistemas informáticos"
"08390";"212405";"2124-05";"2131";"Creadores y analistas de sistemas informáticos"
"08390";"212415";"2124-15";"2131";"Creadores y analistas de sistemas informáticos"
"08390";"317205";"3172-05";"3122";"Técnicos en control de equipos informáticos"
"08410";"142510";"1425-10";"1236";"Directores de departamentos de servicios de informática"
"08420";"317110";"3171-10";"3121";"Técnicos en programación informática"
"08425";"313505";"3135-05";"3114";"Técnicos en electrónica y telecomunicaciones"
"08430";"317115";"3171-15";"3121";"Técnicos en programación informática"
"08490";"317110";"3171-10";"3121";"Técnicos en programación informática"
"08490";"317205";"3172-05";"3122";"Técnicos en control de equipos informáticos"
"09110";"251205";"2512-05";"2441";"Economistas"
"09120";"251225";"2512-25";"2441";"Economistas"
"09130";"251215";"2512-15";"2441";"Economistas"
"09140";"251210";"2512-10";"2441";"Economistas"
"09190";"252105";"2521-05";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"09220";"252105";"2521-05";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"09230";"252105";"2521-05";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"09290";"252105";"2521-05";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"09310";"252210";"2522-10";"2411";"Contadores"
"09320";"252205";"2522-05";"2411";"Contadores"
"09330";"252210";"2522-10";"2411";"Contadores"
"09390";"252205";"2522-05";"2411";"Contadores"
"09390";"252210";"2522-10";"2411";"Contadores"
"09910";"252205";"2522-05";"2411";"Contadores"
"09940";"252510";"2525-10";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"09990";"252105";"2521-05";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"12110";"241005";"2410-05";"2421";"Abogados"
"12120";"241015";"2410-15";"2421";"Abogados"
"12130";"241020";"2410-20";"2421";"Abogados"
"12140";"241035";"2410-35";"2421";"Abogados"
"12150";"241025";"2410-25";"2421";"Abogados"
"12190";"241005";"2410-05";"2421";"Abogados"
"12190";"241015";"2410-15";"2421";"Abogados"
"12190";"241020";"2410-20";"2421";"Abogados"
"12190";"241030";"2410-30";"2421";"Abogados"
"12920";"241215";"2412-15";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"12930";"241210";"2412-10";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"12940";"241010";"2410-10";"2421";"Abogados"
"12950";"241040";"2410-40";"2421";"Abogados"
"12990";"241040";"2410-40";"2421";"Abogados"
"12990";"241210";"2412-10";"2429";"Profesionales del derecho, no clasificados bajo otros epígrafes"
"12990";"241230";"2412-30";"2421";"Abogados"
"12990";"242210";"2422-10";"2421";"Abogados"
"12990";"242215";"2422-15";"2421";"Abogados"
"12990";"242235";"2422-35";"2421";"Abogados"
"12990";"242245";"2422-45";"2421";"Abogados"
"13120";"234505";"2345-05";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13130";"234520";"2345-20";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13140";"234510";"2345-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13150";"234515";"2345-15";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13190";"234515";"2345-15";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13190";"234520";"2345-20";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13190";"239410";"2394-10";"2351";"Especialistas en métodos pedagógicos y material didáctico"
"13205";"234210";"2342-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13210";"234205";"2342-05";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13220";"234210";"2342-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13230";"234210";"2342-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13290";"231305";"2313-05";"2331";"Maestros de nivel superior de la enseñanza primaria"
"13320";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13330";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13335";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13340";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13345";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13350";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13355";"234310";"2343-10";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
"13360";"234305";"2343-05";"2310";"Profesores de universidades y otros establecimientos de la enseñanza superior"
