Job_Zone;code;title;trad;CBO2002;TITULO;prox
5;11-1011.00;Chief Executives;Executivo-Chefe;;;
5;11-1011.03;Chief Sustainability Officers;Chief Sustainability Officers;;;
4;11-1021.00;General and Operations Managers;Gerentes Gerais e de Operações;141505;Gerente de termas;0.6382978723404256
4;11-1031.00;Legislators;Legisladores;376220;Deslocador;0.6363636363636364
4;11-1031.00;Legislators;Legisladores;811415;Destilador;0.6363636363636364
4;11-2011.00;Advertising and Promotions Managers;Gerentes de publicidade e promoções;141205;Gerente de produção e operações;0.6666666666666666
4;11-2021.00;Marketing Managers;Gerentes de marketing;142315;Gerente de marketing;0.975609756097561
4;11-2022.00;Sales Managers;Gerentes de vendas;141520;Gerente de pensão;0.8
4;11-2022.00;Sales Managers;Gerentes de vendas;141505;Gerente de termas;0.8
4;11-2031.00;Public Relations and Fundraising Managers;Gerentes de Relações Públicas e Fundraising;141525;Gerente de operações de turismo;0.6486486486486487
3;11-3011.00;Administrative Services Managers;Gerentes de Serviços Administrativos;142105;Gerente administrativo;0.7241379310344828
4;11-3021.00;Computer and Information Systems Managers;Gerentes de Sistemas de Informática e Informação;142525;Gerente de segurança de tecnologia da informação;0.6875
5;11-3031.01;Treasurers and Controllers;Tesoureiros e Controladores;716405;Gesseiro montador;0.6363636363636364
4;11-3031.02;Financial Managers, Branch or Department;Gerentes Financeiros, Filial ou Departamento;;;
4;11-3051.00;Industrial Production Managers;Gerentes de produção industrial;141110;Gerente de produção florestal;0.8
4;11-3051.01;Quality Control Systems Managers;Gerentes de Sistemas de Controle de Qualidade;391210;Técnico analista de pesquisa de controle de qualidade;0.6530612244897959
3;11-3051.02;Geothermal Production Managers;Gerentes de produção geotérmica;141205;Gerente de produção e operações;0.7741935483870968
4;11-3051.03;Biofuels Production Managers;Gerentes de produção de biocombustíveis;141525;Gerente de produtos de turismo;0.6956521739130435
4;11-3051.04;Biomass Power Plant Managers;Gerentes de Usina de Biomassa;141515;Gerente de salão de café;0.6792452830188679
3;11-3051.06;Hydroelectric Production Managers;Gerentes de produção hidrelétrica;141110;Gerente de produção florestal;0.7419354838709677
4;11-3061.00;Purchasing Managers;Gerentes de compras;142110;Gerente de riscos;0.7777777777777778
4;11-3061.00;Purchasing Managers;Gerentes de compras;717020;Servente de obras;0.7777777777777778
4;11-3061.00;Purchasing Managers;Gerentes de compras;141505;Gerente de termas;0.7777777777777778
4;11-3071.01;Transportation Managers;Gerentes de transporte;342120;Agente de transporte;0.8571428571428571
4;11-3071.02;Storage and Distribution Managers;Gerentes de armazenamento e distribuição;141205;Gerente de departamento de produção;0.72
4;11-3071.03;Logistics Managers;Gerentes de Logística;414120;Conferente de logística;0.8181818181818182
4;11-3111.00;Compensation and Benefits Managers;Gerentes de Compensação e Benefícios;141735;Gerente de recuperação de crédito;0.6666666666666666
4;11-3111.00;Compensation and Benefits Managers;Gerentes de Compensação e Benefícios;141120;Gerente de empresa de pesca;0.6666666666666666
4;11-3121.00;Human Resources Managers;Gerentes de recursos humanos;123205;Diretor de recursos humanos;0.8363636363636363
4;11-3131.00;Training and Development Managers;Gerentes de Treinamento e Desenvolvimento;234810;Professor de planejamento e desenvolvimento;0.7380952380952381
3;11-9013.01;Nursery and Greenhouse Managers;Gerentes de enfermagem e estufa;131210;Gerente de enfermagem;0.8076923076923077
4;11-9013.02;Farm and Ranch Managers;Gerentes de fazenda e rancho;141515;Gerente de bar e lanchonete;0.7272727272727273
4;11-9013.03;Aquacultural Managers;Gerentes Aquaculturais;131115;Gerente de serviços culturais;0.7058823529411765
4;11-9021.00;Construction Managers;Gerentes de construção;141205;Gerente de produção;0.7804878048780488
4;11-9031.00;Education Administrators, Preschool and Childcare Center/Program;Administradores de educação, pré escolar e centro de assistência à infância / programa;;;
5;11-9032.00;Education Administrators, Elementary and Secondary School;Administradores de Educação, Escola Primária e Secundária;;;
5;11-9033.00;Education Administrators, Postsecondary;Administradores de Educação, Pós-secundário;131210;Administrador de ambulatório;0.647887323943662
5;11-9039.01;Distance Learning Coordinators;Coordenadores de ensino a distância;720110;Coordenador de caldeiraria;0.6557377049180327
4;11-9039.02;Fitness and Wellness Coordinators;Coordenadores de fitness e bem-estar;224135;Coordenador de futebol;0.6551724137931034
