"CBO2002";"CIUO88";"titulo"
"010105";"0110";"Fuerzas armadas"
"010205";NA;NA
"010305";NA;NA
"020115";"0110";"Fuerzas armadas"
"020110";"0110";"Fuerzas armadas"
"020305";"0110";"Fuerzas armadas"
"020310";"0110";"Fuerzas armadas"
"030115";"0110";"Fuerzas armadas"
"030105";"0110";"Fuerzas armadas"
"030110";"0110";"Fuerzas armadas"
"030205";"0110";"Fuerzas armadas"
"030305";"0110";"Fuerzas armadas"
"031105";"0110";"Fuerzas armadas"
"031110";"0110";"Fuerzas armadas"
"031210";"0110";"Fuerzas armadas"
"031205";"0110";"Fuerzas armadas"
"111215";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111220";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111230";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111235";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111205";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111245";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111250";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111255";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111210";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111240";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111310";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111335";"2422";"Jueces"
"111315";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111505";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"111510";"1110";"Miembros del poder ejecutivo y de los cuerpos legislativos"
"113015";"1130";"Jefes de pequeñas poblaciones"
"113010";"1130";"Jefes de pequeñas poblaciones"
"113005";"1130";"Jefes de pequeñas poblaciones"
"114105";"1141";"Dirigentes y administradores de partidos políticos"
"114210";"1142";"Dirigentes y administradores de organizaciones de empleadores, de trabajadores y de otras de interés socioeconómico"
"114205";"1142";"Dirigentes y administradores de organizaciones de empleadores, de trabajadores y de otras de interés socioeconómico"
"114305";"1143";"Dirigentes y administradores de organizaciones humanitarias y de otras organizaciones especializadas"
"122120";"1221";"Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca"
"122105";"1221";"Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca"
"122110";"1221";"Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca"
"122115";"1221";"Directores de departamentos de producción y operaciones, agricultura, caza, silvicultura y pesca"
"122305";"1223";"Directores de departamentos de producción y operaciones, construcción y obras públicas"
"122405";"1224";"Directores de departamentos de producción y operaciones, comercio mayorista y minorista"
"122520";"1225";"Directores de departamentos de producción y operaciones, restauración y hostelería"
"122510";"1225";"Directores de departamentos de producción y operaciones, restauración y hostelería"
"122505";"1225";"Directores de departamentos de producción y operaciones, restauración y hostelería"
"122620";"1226";"Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones"
"122605";"1226";"Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones"
"122610";"1226";"Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones"
"122615";"1226";"Directores de departamentos de producción y operaciones, transporte, almacenamiento y comunicaciones"
"122710";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122755";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122750";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122745";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122740";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122735";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122730";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122725";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122720";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"122715";"1227";"Directores de departamentos de producción y operaciones, empresas de intermediación y servicios a empresas"
"123205";"1232";"Directores de departamentos de personal y de relaciones laborales"
"123210";"1232";"Directores de departamentos de personal y de relaciones laborales"
"123310";"1233";"Directores de departamentos de ventas y comercialización"
"123405";"1235";"Directores de departamentos de abastecimiento y distribución"
"123410";"1235";"Directores de departamentos de abastecimiento y distribución"
"123605";"1236";"Directores de departamentos de servicios de informática"
"123705";"1239";"Otros directores de departamentos, no clasificados bajo otros epígrafes"
"123805";"1239";"Otros directores de departamentos, no clasificados bajo otros epígrafes"
"131110";"1229";"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes"
"131215";"1229";"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes"
"131220";"1318";"Gerentes de empresas de servicios de cuidados Personales, limpieza y servicios similares"
"131225";"1318";"Gerentes de empresas de servicios de cuidados Personales, limpieza y servicios similares"
"131310";"1229";"Directores de departamentos de producción y operaciones, no clasificados bajo otros epígrafes"
"131320";"1318";"Gerentes de empresas de servicios de cuidados Personales, limpieza y servicios similares"
"141525";"1315";"Gerentes de empresas de restauración y hostelería"
"141730";"1317";"Gerentes de empresas de intermediación y servicios a empresas"
"141735";"1317";"Gerentes de empresas de intermediación y servicios a empresas"
"142110";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"142120";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"142330";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"142325";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"142345";"1234";"Directores de departamentos de publicidad y de relaciones públicas"
"142335";"2419";"Especialistas en organización y administración de empresas y afines, no clasificados bajo otros epígrafes"
"142340";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"142415";"1233";"Directores de departamentos de ventas y comercialización"
"142505";"1236";"Directores de departamentos de servicios de informática"
"142535";"1236";"Directores de departamentos de servicios de informática"
"142520";"1236";"Directores de departamentos de servicios de informática"
"142525";"1236";"Directores de departamentos de servicios de informática"
"142530";"1236";"Directores de departamentos de servicios de informática"
"142610";"1236";"Directores de departamentos de servicios de informática"
"142710";"1239";"Otros directores de departamentos, no clasificados bajo otros epígrafes"
"201105";"2211";"Biólogos, botánicos, zoólogos y afines"
"201110";"2211";"Biólogos, botánicos, zoólogos y afines"
"201115";"2211";"Biólogos, botánicos, zoólogos y afines"
"201225";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"201220";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
"201205";"2149";"Arquitectos, ingenieros y afines, no clasificados bajo otros epígrafes"
